# Curated muscle facts. One muscle per line:
#   Name (exactly as in manifest.json) | origin ; origin | insertion ; insertion | action ; action | innervation | joint.movement.P/A, ...
# P = prime mover, A = assists. Joint and movement slugs come from web/data/vocab.json. "A = B" makes A an alias of B.
# Standard textbook values (Gray's / Moore / Netter); keep every field short. Build with tools/build_muscle_facts.py.

## ---- shoulder girdle and thorax
Descending part of trapezius muscle | Superior nuchal line, external occipital protuberance, nuchal ligament | Lateral third of clavicle, acromion | Elevates scapula; upward rotation; extends and laterally flexes neck | Accessory n. (CN XI), C3–C4 | scapulothoracic.elevation.P, scapulothoracic.upward-rotation.P, cervical-spine.extension.A, cervical-spine.lateral-flexion.A
(Abdominal part of pectoralis major muscle) = Sternocostal head of pectoralis major muscle
Clavicular part of deltoid muscle | Lateral third of clavicle | Deltoid tuberosity of humerus | Flexes and medially rotates arm; horizontal adduction | Axillary n. (C5–C6) | glenohumeral.flexion.P, glenohumeral.medial-rotation.A, glenohumeral.horizontal-adduction.A, glenohumeral.abduction.A
Acromial part of deltoid muscle | Acromion | Deltoid tuberosity of humerus | Abducts arm (15°–90°) | Axillary n. (C5–C6) | glenohumeral.abduction.P
Scapular spinal part of deltoid muscle | Spine of scapula | Deltoid tuberosity of humerus | Extends and laterally rotates arm; horizontal abduction | Axillary n. (C5–C6) | glenohumeral.extension.P, glenohumeral.lateral-rotation.A, glenohumeral.horizontal-abduction.P
Supraspinatus muscle | Supraspinous fossa of scapula | Greater tubercle of humerus (superior facet) | Initiates abduction (first 15°); holds head in glenoid | Suprascapular n. (C5–C6) | glenohumeral.abduction.P
Infraspinatus muscle | Infraspinous fossa of scapula | Greater tubercle of humerus (middle facet) | Laterally rotates arm; holds head in glenoid | Suprascapular n. (C5–C6) | glenohumeral.lateral-rotation.P, glenohumeral.horizontal-abduction.A
Teres minor muscle | Upper lateral border of scapula | Greater tubercle of humerus (inferior facet) | Laterally rotates arm; holds head in glenoid | Axillary n. (C5–C6) | glenohumeral.lateral-rotation.P, glenohumeral.horizontal-abduction.A
Subscapularis muscle | Subscapular fossa | Lesser tubercle of humerus | Medially rotates arm; holds head in glenoid | Upper and lower subscapular nn. (C5–C6) | glenohumeral.medial-rotation.P, glenohumeral.adduction.A
Teres major muscle | Inferior angle and lower lateral border of scapula | Medial lip of intertubercular groove | Adducts, extends and medially rotates arm | Lower subscapular n. (C5–C6) | glenohumeral.adduction.P, glenohumeral.extension.P, glenohumeral.medial-rotation.P
Latissimus dorsi muscle | Spinous processes T7–L5 (thoracolumbar fascia), iliac crest, ribs 10–12 | Floor of intertubercular groove of humerus | Extends, adducts and medially rotates arm | Thoracodorsal n. (C6–C8) | glenohumeral.extension.P, glenohumeral.adduction.P, glenohumeral.medial-rotation.P
Coracobrachialis muscle | Coracoid process | Medial mid-shaft of humerus | Flexes and adducts arm | Musculocutaneous n. (C5–C7) | glenohumeral.flexion.A, glenohumeral.adduction.A

## ---- arm
Long head of biceps brachii | Supraglenoid tubercle of scapula | Radial tuberosity; bicipital aponeurosis | Flexes elbow; supinates forearm; weakly flexes shoulder | Musculocutaneous n. (C5–C6) | elbow.flexion.P, radioulnar.supination.P, glenohumeral.flexion.A
Short head of biceps brachii | Coracoid process | Radial tuberosity; bicipital aponeurosis | Flexes elbow; supinates forearm; weakly flexes shoulder | Musculocutaneous n. (C5–C6) | elbow.flexion.P, radioulnar.supination.P, glenohumeral.flexion.A
Brachialis muscle | Anterior distal half of humerus | Coronoid process and tuberosity of ulna | Flexes elbow in every forearm position | Musculocutaneous n. (C5–C6); radial n. | elbow.flexion.P
Brachioradialis muscle | Lateral supracondylar ridge of humerus | Styloid process of radius | Flexes elbow (best in mid-pronation) | Radial n. (C5–C6) | elbow.flexion.A
Long head of triceps brachii | Infraglenoid tubercle of scapula | Olecranon | Extends elbow; extends and adducts arm | Radial n. (C6–C8) | elbow.extension.P, glenohumeral.extension.A, glenohumeral.adduction.A
Lateral head of triceps brachii | Posterior humerus, above radial groove | Olecranon | Extends elbow | Radial n. (C6–C8) | elbow.extension.P
Medial head of triceps brachii | Posterior humerus, below radial groove | Olecranon | Extends elbow (always active) | Radial n. (C6–C8) | elbow.extension.P
Anconeus muscle | Lateral epicondyle of humerus | Lateral olecranon, posterior ulna | Assists triceps in extending elbow; steadies ulna | Radial n. (C7–C8) | elbow.extension.A

## ---- forearm
Superficial head of pronator teres | Medial epicondyle (common flexor tendon) | Middle of lateral radius | Pronates forearm; weakly flexes elbow | Median n. (C6–C7) | radioulnar.pronation.P, elbow.flexion.A
Deep head of pronator teres | Coronoid process of ulna | Middle of lateral radius | Pronates forearm; weakly flexes elbow | Median n. (C6–C7) | radioulnar.pronation.P, elbow.flexion.A
Pronator quadratus | Distal quarter of anterior ulna | Distal quarter of anterior radius | Pronates forearm; binds radius to ulna | Anterior interosseous n. (C8–T1) | radioulnar.pronation.P
Flexor carpi radialis | Medial epicondyle (common flexor tendon) | Bases of 2nd and 3rd metacarpals | Flexes and radially deviates wrist | Median n. (C6–C7) | wrist.flexion.P, wrist.radial-deviation.A
Palmaris longus muscle | Medial epicondyle (common flexor tendon) | Flexor retinaculum, palmar aponeurosis | Flexes wrist; tenses palmar aponeurosis | Median n. (C7–C8) | wrist.flexion.A
Humeral head of flexor carpi ulnaris | Medial epicondyle (common flexor tendon) | Pisiform, hook of hamate, base of 5th metacarpal | Flexes and ulnar deviates wrist | Ulnar n. (C7–T1) | wrist.flexion.P, wrist.ulnar-deviation.P
Ulnar head of flexor carpi ulnaris | Olecranon, posterior border of ulna | Pisiform, hook of hamate, base of 5th metacarpal | Flexes and ulnar deviates wrist | Ulnar n. (C7–T1) | wrist.flexion.P, wrist.ulnar-deviation.P
Humero-ulnar head of flexor digitorum superficialis | Medial epicondyle, coronoid process | Sides of middle phalanges, digits 2–5 | Flexes PIP joints; assists MCP and wrist flexion | Median n. (C7–T1) | interphalangeal-hand.flexion.P, metacarpophalangeal.flexion.A, wrist.flexion.A
Radial head of flexor digitorum superficialis | Anterior oblique line of radius | Sides of middle phalanges, digits 2–5 | Flexes PIP joints; assists MCP and wrist flexion | Median n. (C7–T1) | interphalangeal-hand.flexion.P, metacarpophalangeal.flexion.A, wrist.flexion.A
Flexor digitorum profundus | Proximal ¾ of anterior and medial ulna, interosseous membrane | Bases of distal phalanges, digits 2–5 | Flexes DIP (and PIP, MCP) joints; assists wrist flexion | Anterior interosseous n. (digits 2–3); ulnar n. (digits 4–5); C8–T1 | interphalangeal-hand.flexion.P, metacarpophalangeal.flexion.A, wrist.flexion.A
Flexor pollicis longus | Anterior radius, interosseous membrane | Base of distal phalanx of thumb | Flexes thumb IP joint (and MCP, CMC) | Anterior interosseous n. (C7–C8) | interphalangeal-hand.flexion.P, metacarpophalangeal.flexion.A, carpometacarpal-1.flexion.A
Extensor carpi radialis longus | Lateral supracondylar ridge of humerus | Base of 2nd metacarpal | Extends and radially deviates wrist | Radial n. (C6–C7) | wrist.extension.P, wrist.radial-deviation.P
Extensor carpi radialis brevis | Lateral epicondyle (common extensor tendon) | Base of 3rd metacarpal | Extends wrist; steadies it in a fist | Deep branch of radial n. (C7–C8) | wrist.extension.P, wrist.radial-deviation.A
Extensor digitorum | Lateral epicondyle (common extensor tendon) | Extensor expansions of digits 2–5 | Extends fingers (MCP first, then IP); extends wrist | Posterior interosseous n. (C7–C8) | metacarpophalangeal.extension.P, interphalangeal-hand.extension.A, wrist.extension.A
Extensor digiti minimi | Lateral epicondyle (common extensor tendon) | Extensor expansion of digit 5 | Extends little finger | Posterior interosseous n. (C7–C8) | metacarpophalangeal.extension.P
Humeral head of extensor carpi ulnaris | Lateral epicondyle (common extensor tendon) | Base of 5th metacarpal | Extends and ulnar deviates wrist | Posterior interosseous n. (C7–C8) | wrist.extension.P, wrist.ulnar-deviation.P
Ulnar head of extensor carpi ulnaris | Posterior border of ulna | Base of 5th metacarpal | Extends and ulnar deviates wrist | Posterior interosseous n. (C7–C8) | wrist.extension.P, wrist.ulnar-deviation.P
Supinator | Lateral epicondyle, supinator crest of ulna, radial collateral ligament | Lateral surface of proximal radius | Supinates forearm | Deep branch of radial n. (C6–C7) | radioulnar.supination.P
Abductor pollicis longus | Posterior ulna and radius, interosseous membrane | Base of 1st metacarpal | Abducts and extends thumb at CMC; radial deviation | Posterior interosseous n. (C7–C8) | carpometacarpal-1.abduction.P, carpometacarpal-1.extension.A, wrist.radial-deviation.A
Extensor pollicis brevis | Posterior radius, interosseous membrane | Base of proximal phalanx of thumb | Extends thumb MCP joint | Posterior interosseous n. (C7–C8) | metacarpophalangeal.extension.P, carpometacarpal-1.extension.A
Extensor pollicis longus | Middle third of posterior ulna, interosseous membrane | Base of distal phalanx of thumb | Extends thumb IP and MCP joints | Posterior interosseous n. (C7–C8) | interphalangeal-hand.extension.P, carpometacarpal-1.extension.A
Extensor indicis | Distal posterior ulna, interosseous membrane | Extensor expansion of index finger | Extends index finger (independent pointing) | Posterior interosseous n. (C7–C8) | metacarpophalangeal.extension.P

## ---- hand
Abductor pollicis brevis | Flexor retinaculum, scaphoid tubercle, trapezium | Lateral base of proximal phalanx of thumb | Abducts thumb | Median n., recurrent branch (C8–T1) | carpometacarpal-1.abduction.P
Superficial head of flexor pollicis brevis | Flexor retinaculum, trapezium | Base of proximal phalanx of thumb | Flexes thumb at CMC and MCP | Median n., recurrent branch (C8–T1) | carpometacarpal-1.flexion.P, metacarpophalangeal.flexion.P
Deep head of flexor pollicis brevis | Trapezoid, capitate | Base of proximal phalanx of thumb | Flexes thumb at CMC and MCP | Ulnar n., deep branch (C8–T1) | carpometacarpal-1.flexion.P, metacarpophalangeal.flexion.P
Opponens pollicis muscle | Flexor retinaculum, trapezium | Lateral half of 1st metacarpal shaft | Opposes thumb (flexes and medially rotates 1st metacarpal) | Median n., recurrent branch (C8–T1) | carpometacarpal-1.opposition.P
Oblique head of adductor pollicis | Capitate, bases of 2nd–3rd metacarpals | Medial base of proximal phalanx of thumb | Adducts thumb | Ulnar n., deep branch (C8–T1) | carpometacarpal-1.adduction.P
Transverse head of adductor pollicis | Shaft of 3rd metacarpal | Medial base of proximal phalanx of thumb | Adducts thumb | Ulnar n., deep branch (C8–T1) | carpometacarpal-1.adduction.P
Abductor digiti minimi of hand | Pisiform, tendon of flexor carpi ulnaris | Medial base of proximal phalanx of digit 5 | Abducts little finger | Ulnar n., deep branch (C8–T1) | metacarpophalangeal.abduction.P
Flexor digiti minimi of hand | Hook of hamate, flexor retinaculum | Medial base of proximal phalanx of digit 5 | Flexes little finger at MCP | Ulnar n., deep branch (C8–T1) | metacarpophalangeal.flexion.P
Opponens digiti minimi muscle of hand | Hook of hamate, flexor retinaculum | Medial border of 5th metacarpal | Draws 5th metacarpal forward (cups palm) | Ulnar n., deep branch (C8–T1) |
Lumbrical muscles of hand | Tendons of flexor digitorum profundus | Lateral side of extensor expansions, digits 2–5 | Flex MCP joints; extend IP joints | Median n. (digits 2–3); ulnar n. (4–5); C8–T1 | metacarpophalangeal.flexion.P, interphalangeal-hand.extension.P
Dorsal interossei muscles of hand | Adjacent sides of two metacarpals | Bases of proximal phalanges, extensor expansions (digits 2–4) | Abduct digits 2–4 (DAB); flex MCP, extend IP | Ulnar n., deep branch (C8–T1) | metacarpophalangeal.abduction.P, metacarpophalangeal.flexion.A
Palmar interossei muscles | Palmar surfaces of metacarpals 2, 4, 5 | Extensor expansions of digits 2, 4, 5 | Adduct digits 2, 4, 5 (PAD); flex MCP | Ulnar n., deep branch (C8–T1) | metacarpophalangeal.adduction.P, metacarpophalangeal.flexion.A

## ---- hip and thigh
Iliacus muscle | Iliac fossa, ala of sacrum | Lesser trochanter (with psoas major) | Flexes hip; flexes trunk on fixed thigh | Femoral n. (L2–L4) | hip.flexion.P
Psoas major | Bodies and transverse processes of T12–L5, discs | Lesser trochanter | Flexes hip; flexes and laterally flexes lumbar spine | Anterior rami of L1–L3 | hip.flexion.P, hip.lateral-rotation.A, lumbar-spine.flexion.A, lumbar-spine.lateral-flexion.A
Pectineus muscle | Pectineal line of pubis | Pectineal line of femur | Adducts and flexes hip | Femoral n. (L2–L3); obturator n. | hip.adduction.P, hip.flexion.A
Sartorius muscle | Anterior superior iliac spine | Superomedial tibia (pes anserinus) | Flexes, abducts and laterally rotates hip; flexes knee | Femoral n. (L2–L3) | hip.flexion.A, hip.abduction.A, hip.lateral-rotation.A, knee.flexion.A, knee.medial-rotation.A
Rectus femoris muscle | Anterior inferior iliac spine, rim of acetabulum | Patella, then tibial tuberosity (patellar ligament) | Extends knee; flexes hip | Femoral n. (L2–L4) | knee.extension.P, hip.flexion.P
Vastus lateralis muscle | Greater trochanter, lateral lip of linea aspera | Patella, then tibial tuberosity | Extends knee | Femoral n. (L2–L4) | knee.extension.P
Vastus medialis muscle | Intertrochanteric line, medial lip of linea aspera | Patella, then tibial tuberosity | Extends knee; stabilises patella | Femoral n. (L2–L4) | knee.extension.P
Vastus intermedius muscle | Anterior and lateral femoral shaft | Patella, then tibial tuberosity | Extends knee | Femoral n. (L2–L4) | knee.extension.P
Tensor fasciae latae | Anterior superior iliac spine, iliac crest | Iliotibial tract to lateral tibial condyle | Flexes, abducts and medially rotates hip; tenses iliotibial tract | Superior gluteal n. (L4–S1) | hip.flexion.A, hip.abduction.A, hip.medial-rotation.A
Gracilis muscle | Body and inferior ramus of pubis | Superomedial tibia (pes anserinus) | Adducts hip; flexes knee and medially rotates leg | Obturator n. (L2–L3) | hip.adduction.A, knee.flexion.A, knee.medial-rotation.A
Adductor longus | Body of pubis below pubic crest | Middle third of linea aspera | Adducts hip; assists flexion | Obturator n. (L2–L4) | hip.adduction.P, hip.flexion.A
Adductor brevis | Body and inferior ramus of pubis | Pectineal line, proximal linea aspera | Adducts hip | Obturator n. (L2–L4) | hip.adduction.P
Adductor magnus | Inferior pubic ramus, ischial ramus, ischial tuberosity | Gluteal tuberosity, linea aspera, adductor tubercle | Adducts hip; hamstring part extends hip | Obturator n.; tibial n. (L2–L4) | hip.adduction.P, hip.extension.A
(Adductor minimus) = Adductor magnus
Gluteus maximus muscle | Posterior gluteal line of ilium, sacrum, coccyx, sacrotuberous ligament | Gluteal tuberosity; iliotibial tract | Extends and laterally rotates hip; upper fibres abduct | Inferior gluteal n. (L5–S2) | hip.extension.P, hip.lateral-rotation.P, hip.abduction.A
Gluteus medius muscle | External ilium between anterior and posterior gluteal lines | Lateral surface of greater trochanter | Abducts hip; holds pelvis level in single-leg stance | Superior gluteal n. (L4–S1) | hip.abduction.P, hip.medial-rotation.A
Gluteus minimus muscle | External ilium between anterior and inferior gluteal lines | Anterior surface of greater trochanter | Abducts and medially rotates hip | Superior gluteal n. (L4–S1) | hip.abduction.P, hip.medial-rotation.A
Piriformis muscle | Anterior sacrum (S2–S4) | Superior greater trochanter | Laterally rotates extended hip; abducts flexed hip | Nerve to piriformis (S1–S2) | hip.lateral-rotation.P, hip.abduction.A
Obturator internus | Inner surface of obturator membrane | Medial greater trochanter | Laterally rotates extended hip; abducts flexed hip | Nerve to obturator internus (L5–S1) | hip.lateral-rotation.P
Obturator externus | Outer surface of obturator membrane | Trochanteric fossa of femur | Laterally rotates hip | Obturator n. (L3–L4) | hip.lateral-rotation.P, hip.adduction.A
Superior gemellus muscle | Ischial spine | Medial greater trochanter | Laterally rotates hip | Nerve to obturator internus (L5–S1) | hip.lateral-rotation.A
Inferior gemellus muscle | Ischial tuberosity | Medial greater trochanter | Laterally rotates hip | Nerve to quadratus femoris (L4–S1) | hip.lateral-rotation.A
Quadratus femoris muscle | Lateral ischial tuberosity | Quadrate tubercle of femur | Laterally rotates hip | Nerve to quadratus femoris (L4–S1) | hip.lateral-rotation.P, hip.adduction.A
Long head of biceps femoris | Ischial tuberosity | Head of fibula | Extends hip; flexes knee; laterally rotates flexed leg | Tibial n. (L5–S2) | hip.extension.P, knee.flexion.P, knee.lateral-rotation.P
Short head of biceps femoris | Lateral lip of linea aspera | Head of fibula | Flexes knee; laterally rotates flexed leg | Common fibular n. (L5–S2) | knee.flexion.P, knee.lateral-rotation.P
Semitendinosus muscle | Ischial tuberosity | Superomedial tibia (pes anserinus) | Extends hip; flexes knee; medially rotates flexed leg | Tibial n. (L5–S2) | hip.extension.P, knee.flexion.P, knee.medial-rotation.P
Semimembranosus muscle | Ischial tuberosity | Posterior medial tibial condyle | Extends hip; flexes knee; medially rotates flexed leg | Tibial n. (L5–S2) | hip.extension.P, knee.flexion.P, knee.medial-rotation.P

## ---- leg and foot
Popliteus muscle | Lateral femoral condyle, lateral meniscus | Posterior tibia above soleal line | Unlocks extended knee (medial rotation of tibia); flexes knee | Tibial n. (L4–S1) | knee.medial-rotation.P, knee.flexion.A
Plantaris muscle | Lateral supracondylar line of femur | Calcaneus (medial to Achilles tendon) | Weakly plantarflexes ankle and flexes knee | Tibial n. (S1–S2) | ankle.plantarflexion.A, knee.flexion.A
Lateral head of gastrocnemius | Lateral femoral condyle | Calcaneus via calcaneal tendon | Plantarflexes ankle; flexes knee | Tibial n. (S1–S2) | ankle.plantarflexion.P, knee.flexion.A
Medial head of gastrocnemius | Medial femoral condyle | Calcaneus via calcaneal tendon | Plantarflexes ankle; flexes knee | Tibial n. (S1–S2) | ankle.plantarflexion.P, knee.flexion.A
Soleus muscle | Head and upper fibula, soleal line of tibia | Calcaneus via calcaneal tendon | Plantarflexes ankle (postural muscle) | Tibial n. (S1–S2) | ankle.plantarflexion.P
Tibialis anterior muscle | Lateral tibial condyle, upper lateral tibia, interosseous membrane | Medial cuneiform, base of 1st metatarsal | Dorsiflexes ankle; inverts foot | Deep fibular n. (L4–L5) | ankle.dorsiflexion.P, subtalar.inversion.P
Extensor hallucis longus | Middle anterior fibula, interosseous membrane | Dorsal base of distal phalanx of great toe | Extends great toe; dorsiflexes ankle | Deep fibular n. (L5–S1) | metatarsophalangeal.extension.P, interphalangeal-foot.extension.P, ankle.dorsiflexion.A
Extensor digitorum longus | Lateral tibial condyle, anterior fibula, interosseous membrane | Middle and distal phalanges of toes 2–5 | Extends toes 2–5; dorsiflexes ankle | Deep fibular n. (L5–S1) | metatarsophalangeal.extension.P, interphalangeal-foot.extension.A, ankle.dorsiflexion.A, subtalar.eversion.A
Fibularis tertius muscle | Distal anterior fibula | Dorsal base of 5th metatarsal | Dorsiflexes and everts foot | Deep fibular n. (L5–S1) | ankle.dorsiflexion.A, subtalar.eversion.A
Fibularis longus muscle | Head and upper two-thirds of lateral fibula | Medial cuneiform, base of 1st metatarsal | Everts foot; weakly plantarflexes; supports arches | Superficial fibular n. (L5–S1) | subtalar.eversion.P, ankle.plantarflexion.A
Fibularis brevis muscle | Lower two-thirds of lateral fibula | Tuberosity of 5th metatarsal | Everts foot; weakly plantarflexes | Superficial fibular n. (L5–S1) | subtalar.eversion.P, ankle.plantarflexion.A
Tibialis posterior muscle | Interosseous membrane, posterior tibia and fibula | Navicular tuberosity, cuneiforms, cuboid, metatarsals 2–4 | Inverts foot; plantarflexes ankle; supports medial arch | Tibial n. (L4–L5) | subtalar.inversion.P, ankle.plantarflexion.A
Flexor digitorum longus | Posterior tibia (medial part) | Bases of distal phalanges of toes 2–5 | Flexes toes 2–5; plantarflexes ankle | Tibial n. (L5–S1) | metatarsophalangeal.flexion.P, interphalangeal-foot.flexion.P, ankle.plantarflexion.A, subtalar.inversion.A
Flexor hallucis longus | Posterior fibula (lower two-thirds), interosseous membrane | Plantar base of distal phalanx of great toe | Flexes great toe; plantarflexes ankle | Tibial n. (S2–S3) | interphalangeal-foot.flexion.P, metatarsophalangeal.flexion.P, ankle.plantarflexion.A
Extensor digitorum brevis | Anterolateral calcaneus | Extensor expansions of toes 2–4 | Extends toes 2–4 | Deep fibular n. (L5–S1) | metatarsophalangeal.extension.P
Extensor hallucis brevis | Anterolateral calcaneus | Proximal phalanx of great toe | Extends great toe at MTP | Deep fibular n. (L5–S1) | metatarsophalangeal.extension.P
Abductor hallucis | Medial calcaneal tuberosity, flexor retinaculum | Medial base of proximal phalanx of great toe | Abducts and flexes great toe | Medial plantar n. (S1–S2) | metatarsophalangeal.abduction.P, metatarsophalangeal.flexion.A
Flexor digitorum brevis | Medial calcaneal tuberosity, plantar aponeurosis | Middle phalanges of toes 2–5 | Flexes toes 2–5 at PIP | Medial plantar n. (S1–S2) | interphalangeal-foot.flexion.P, metatarsophalangeal.flexion.A
Abductor digiti minimi of foot | Calcaneal tuberosity, plantar aponeurosis | Lateral base of proximal phalanx of 5th toe | Abducts and flexes little toe | Lateral plantar n. (S1–S3) | metatarsophalangeal.abduction.P
Quadratus plantae muscle | Medial and lateral surfaces of calcaneus | Tendon of flexor digitorum longus | Assists flexor digitorum longus; straightens its pull | Lateral plantar n. (S2–S3) | metatarsophalangeal.flexion.A
Lumbrical muscles of foot | Tendons of flexor digitorum longus | Medial side of extensor expansions, toes 2–5 | Flex MTP joints; extend IP joints | Medial and lateral plantar nn. (S2–S3) | metatarsophalangeal.flexion.P, interphalangeal-foot.extension.A
Medial head of flexor hallucis brevis | Cuboid, lateral cuneiform | Base of proximal phalanx of great toe (medial sesamoid) | Flexes great toe at MTP | Medial plantar n. (S1–S2) | metatarsophalangeal.flexion.P
Lateral head of flexor hallucis brevis | Cuboid, lateral cuneiform | Base of proximal phalanx of great toe (lateral sesamoid) | Flexes great toe at MTP | Medial plantar n. (S1–S2) | metatarsophalangeal.flexion.P
Oblique head of adductor hallucis | Bases of metatarsals 2–4, cuboid, lateral cuneiform | Lateral base of proximal phalanx of great toe | Adducts great toe; supports transverse arch | Lateral plantar n., deep branch (S2–S3) | metatarsophalangeal.adduction.P
Transverse head of adductor hallucis | Capsules of MTP joints of toes 3–5 | Lateral base of proximal phalanx of great toe | Adducts great toe; supports transverse arch | Lateral plantar n., deep branch (S2–S3) | metatarsophalangeal.adduction.P
Flexor digiti minimi of foot | Base of 5th metatarsal | Base of proximal phalanx of 5th toe | Flexes little toe | Lateral plantar n. (S2–S3) | metatarsophalangeal.flexion.P
(Opponens digiti minimi muscle of foot) | Long plantar ligament, base of 5th metatarsal | Lateral 5th metatarsal | Draws 5th metatarsal plantar-medially | Lateral plantar n. (S2–S3) |
Dorsal interossei muscles of foot | Adjacent sides of metatarsals | Proximal phalanges of toes 2–4, extensor expansions | Abduct toes 2–4 from 2nd toe; flex MTP | Lateral plantar n. (S2–S3) | metatarsophalangeal.abduction.P, metatarsophalangeal.flexion.A
Plantar interossei muscles | Medial sides of metatarsals 3–5 | Medial base of proximal phalanx, toes 3–5 | Adduct toes 3–5 toward 2nd toe; flex MTP | Lateral plantar n. (S2–S3) | metatarsophalangeal.adduction.P, metatarsophalangeal.flexion.A

## ---- trunk
Rectus abdominis muscle | Pubic crest and symphysis | Xiphoid process, costal cartilages 5–7 | Flexes trunk; compresses abdomen; tilts pelvis posteriorly | Thoracoabdominal nn. (T7–T11); subcostal n. (T12) | lumbar-spine.flexion.P, thoracic-spine.flexion.P
External abdominal oblique muscle | External surfaces of ribs 5–12 | Linea alba, pubic tubercle, anterior iliac crest | Flexes trunk; lateral flexion; rotates trunk to opposite side | Intercostal nn. (T7–T11); subcostal n. (T12) | lumbar-spine.rotation.P, thoracic-spine.rotation.P, lumbar-spine.lateral-flexion.P, lumbar-spine.flexion.A
Internal abdominal oblique muscle | Thoracolumbar fascia, iliac crest, inguinal ligament | Ribs 10–12, linea alba, pubic crest (conjoint tendon) | Flexes trunk; lateral flexion; rotates trunk to same side | Intercostal nn. (T7–T12); iliohypogastric and ilioinguinal nn. (L1) | lumbar-spine.rotation.P, thoracic-spine.rotation.P, lumbar-spine.lateral-flexion.P, lumbar-spine.flexion.A
Transversus abdominis muscle | Costal cartilages 7–12, thoracolumbar fascia, iliac crest | Linea alba, pubic crest (conjoint tendon) | Compresses abdomen; stabilises trunk | Thoracoabdominal nn. (T7–T11); iliohypogastric and ilioinguinal nn. (L1) |
Pyramidalis muscle | Anterior pubis | Linea alba | Tenses linea alba | Subcostal n. (T12) |
Quadratus lumborum muscle | Iliac crest, iliolumbar ligament | 12th rib, transverse processes of L1–L4 | Laterally flexes lumbar spine; fixes 12th rib | Anterior rami of T12–L4 | lumbar-spine.lateral-flexion.P, lumbar-spine.extension.A
Iliocostalis lumborum muscle | Sacrum, iliac crest, thoracolumbar fascia | Angles of ribs 6–12 | Extends and laterally flexes spine | Dorsal rami of spinal nn. | lumbar-spine.extension.P, lumbar-spine.lateral-flexion.P, thoracic-spine.extension.A
